,Name,Rating_star,Processor,RAM,Operating_system,SSD_Capacity,Display_size,Price,Discount
908,Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,,AMD Ryzen 7 Octa Core Processor,32 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display,"₹1,63,791",34% off
909,ASUS Zenbook 14 OLED (2023) Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) UM3402YA-KM74...,,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,"₹89,990",26% off
910,Lenovo LOQ Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹87,990",25% off
911,ASUS Vivobook Pro 15 OLED For Creator Ryzen 5 Hexa Core 5600HS - (16 GB/512 GB SSD/Windows 11 Home/4 G...,,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹66,990",22% off
912,ASUS VivoBook K15 OLED (2022) Core i5 11th Gen 1135G7 - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K5...,,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,"₹57,951",32% off
913,HP OMEN Core i7 13th Gen 13700HX - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX ...,,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 Inch) Display,"₹1,76,108",0
914,Acer Aspire 7 (2023) Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹58,990",25% off
915,APPLE 2023 MacBook Pro M2 Pro - (16 GB/512 GB SSD/macOS Ventura) MNWC3HN/A,,Apple M2 Pro Processor,16 GB Unified Memory RAM,Mac OS Operating System,512 GB SSD,40.64 cm (16 Inch) Display,"₹2,29,990",7% off
916,ASUS Chromebook Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0002 / CX...,,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,29.46 cm (11.6 Inch) Display,1 Year onsite warranty,"₹13,990",44% off
917,HP Victus Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX ...,,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹63,990",14% off
918,Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display,"₹1,51,688",30% off
919,APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLXX3HN/A,,Apple M2 Processor,8 GB Unified Memory RAM,Mac OS Operating System,512 GB SSD,34.54 cm (13.6 Inch) Display,"₹1,37,990",8% off
920,HP Victus Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX ...,,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 Inch) Display,"₹58,990",18% off
921,HP Victus Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX...,,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 Inch) Display,"₹61,990",18% off
922,Acer Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Aspire Lite AL15-51 Thin and Light Laptop,,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"₹33,990",30% off
923,ASUS Vivobook 14 (2022) Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-EK522WS Thi...,,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"₹54,990",22% off
924,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) K513EA-L312W...,,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"₹43,990",30% off
925,ASUS Vivobook Ultra K15 Core i3 11th Gen i3-1115G4 - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3379W...,,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"₹43,990",30% off
926,ASUS Chromebook Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-EJ0275 Chromeb...,,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"₹20,990",41% off
927,ASUS Chromebook Celeron Dual Core N4020 - (4 GB/32 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0004 / CX...,,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,29.46 cm (11.6 Inch) Display,1 Year onsite warranty,"₹12,990",48% off
928,ASUS TUF Gaming F15 (2022) Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"₹96,500",30% off
929,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi...,,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"₹62,990",39% off
930,HP intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a- na1004TU Chromebook,,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty,"₹21,990",26% off
931,Lenovo LOQ Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RT...,,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹1,14,990",25% off
932,ASUS Zenbook 14 OLED (2023) Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) UM3402YA-KM74...,,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,"₹89,990",26% off
933,Infinix X1 Slim Series Core i7 10th Gen 1065G7 - (16 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Ligh...,,Intel Core i7 Processor (10th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,"₹54,990",21% off
934,Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,,AMD Ryzen 7 Octa Core Processor,32 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display,"₹1,63,791",34% off
935,Acer Travelmate Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) TMP214-41-G3 Thin and Lig...,,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,"₹44,990",29% off
936,ASUS Chromebook Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0002 / CX...,,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,29.46 cm (11.6 Inch) Display,1 Year onsite warranty,"₹13,990",44% off
937,CHUWI Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"₹23,990",52% off
938,"ASUS Vivobook Pro 15 For Creator, Ryzen 5 Hexa Core 5600HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Gra...",,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹60,990",19% off
939,DELL Inspiron Core i3 11th Gen 1125G4 - (8 GB/512 GB SSD/Windows 10) Inspiron 5410 2 in 1 Laptop,,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inches) Touchscreen Display,"₹52,990",23% off
940,HP 360 Intel Celeron Quad Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebook,,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite warranty,"₹23,104",25% off
941,ASUS Chromebook Celeron Dual Core N4020 - (4 GB/32 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0004 / CX...,,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,29.46 cm (11.6 Inch) Display,1 Year onsite warranty,"₹12,990",48% off
942,ASUS Zenbook 14 OLED Touch Intel EVO P-Series Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Ho...,,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,"₹87,990",23% off
943,Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 14I...,,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,"₹18,990",49% off
944,walker Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1 Laptop,,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Windows 11 Operating System,128 GB SSD,35.81 cm (14.1 inch) Display,"₹13,990",53% off
945,MSI Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050)...,,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,43.94 cm (17.3 Inch) Display,"₹97,990",20% off
